
Conexäes ativas

  Proto  Endere‡o local         Endere‡o externo       Estado           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1392
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:2179           0.0.0.0:0              LISTENING       2064
  TCP    0.0.0.0:2383           0.0.0.0:0              LISTENING       9960
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       4736
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       6460
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       13496
  TCP    0.0.0.0:16450          0.0.0.0:0              LISTENING       1564
  TCP    0.0.0.0:16451          0.0.0.0:0              LISTENING       12060
  TCP    0.0.0.0:16452          0.0.0.0:0              LISTENING       12060
  TCP    0.0.0.0:16453          0.0.0.0:0              LISTENING       1564
  TCP    0.0.0.0:17001          0.0.0.0:0              LISTENING       1564
  TCP    0.0.0.0:33060          0.0.0.0:0              LISTENING       4736
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1128
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       512
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2352
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2720
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       3540
  TCP    0.0.0.0:49678          0.0.0.0:0              LISTENING       1100
  TCP    127.0.0.1:1434         0.0.0.0:0              LISTENING       10920
  TCP    127.0.0.1:16450        127.0.0.1:65148        ESTABLISHED     1564
  TCP    127.0.0.1:49672        127.0.0.1:49673        ESTABLISHED     4736
  TCP    127.0.0.1:49673        127.0.0.1:49672        ESTABLISHED     4736
  TCP    127.0.0.1:49674        127.0.0.1:49675        ESTABLISHED     4736
  TCP    127.0.0.1:49675        127.0.0.1:49674        ESTABLISHED     4736
  TCP    127.0.0.1:51624        0.0.0.0:0              LISTENING       10920
  TCP    127.0.0.1:65148        127.0.0.1:16450        ESTABLISHED     12060
  TCP    172.18.224.1:139       0.0.0.0:0              LISTENING       4
  TCP    172.29.32.1:139        0.0.0.0:0              LISTENING       4
  TCP    192.168.1.64:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.1.64:16451     192.168.1.64:65149     ESTABLISHED     12060
  TCP    192.168.1.64:49639     192.28.164.179:443     CLOSE_WAIT      6096
  TCP    192.168.1.64:49884     108.158.139.190:443    TIME_WAIT       0
  TCP    192.168.1.64:49900     17.179.252.2:443       CLOSE_WAIT      2792
  TCP    192.168.1.64:53646     2.17.162.11:443        ESTABLISHED     6096
  TCP    192.168.1.64:54643     151.101.177.140:443    ESTABLISHED     6096
  TCP    192.168.1.64:55241     17.249.252.4:5223      ESTABLISHED     4212
  TCP    192.168.1.64:56970     15.197.213.252:443     ESTABLISHED     6096
  TCP    192.168.1.64:57877     44.194.94.122:443      ESTABLISHED     6096
  TCP    192.168.1.64:59093     17.179.252.2:443       CLOSE_WAIT      5696
  TCP    192.168.1.64:59094     17.157.64.79:443       CLOSE_WAIT      5696
  TCP    192.168.1.64:60503     108.158.139.190:443    TIME_WAIT       0
  TCP    192.168.1.64:61153     200.149.59.24:80       TIME_WAIT       0
  TCP    192.168.1.64:61400     128.85.75.152:443      TIME_WAIT       0
  TCP    192.168.1.64:61593     98.85.213.95:443       ESTABLISHED     6096
  TCP    192.168.1.64:62353     108.158.186.23:443     CLOSE_WAIT      6096
  TCP    192.168.1.64:62734     44.221.223.171:443     ESTABLISHED     6096
  TCP    192.168.1.64:65149     192.168.1.64:16451     ESTABLISHED     12060
  TCP    [::]:135               [::]:0                 LISTENING       1392
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:2179              [::]:0                 LISTENING       2064
  TCP    [::]:2383              [::]:0                 LISTENING       9960
  TCP    [::]:3306              [::]:0                 LISTENING       4736
  TCP    [::]:7680              [::]:0                 LISTENING       13496
  TCP    [::]:16450             [::]:0                 LISTENING       1564
  TCP    [::]:16451             [::]:0                 LISTENING       12060
  TCP    [::]:16452             [::]:0                 LISTENING       12060
  TCP    [::]:16453             [::]:0                 LISTENING       1564
  TCP    [::]:17001             [::]:0                 LISTENING       1564
  TCP    [::]:33060             [::]:0                 LISTENING       4736
  TCP    [::]:49664             [::]:0                 LISTENING       1128
  TCP    [::]:49665             [::]:0                 LISTENING       512
  TCP    [::]:49666             [::]:0                 LISTENING       2352
  TCP    [::]:49667             [::]:0                 LISTENING       2720
  TCP    [::]:49669             [::]:0                 LISTENING       3540
  TCP    [::]:49678             [::]:0                 LISTENING       1100
  TCP    [::1]:1434             [::]:0                 LISTENING       10920
  TCP    [::1]:51624            [::]:0                 LISTENING       10920
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:49679  [2603:1030:210:f::2]:443  ESTABLISHED     4004
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:49895  [2a06:98c1:310b::ac40:9bd1]:443  ESTABLISHED     11892
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:49896  [2620:149:1369::b]:443  CLOSE_WAIT      2792
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:49897  [2620:149:1369::b]:443  CLOSE_WAIT      2792
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:49898  [2620:149:1369::b]:443  CLOSE_WAIT      2792
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:50812  [2a06:98c1:310d::ac40:961c]:443  ESTABLISHED     11484
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:51234  [2606:4700::6810:752b]:443  ESTABLISHED     6096
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:52632  [2800:3f0:4003:c08::bc]:5228  ESTABLISHED     6096
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:53315  [2606:4700::6812:572a]:443  ESTABLISHED     6096
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:53716  [2800:3f0:4004:815::200a]:443  CLOSE_WAIT      11040
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:53719  [2800:3f0:4004:815::200a]:443  CLOSE_WAIT      11040
  TCP    [2804:d41:e051:8100:71db:78b8:cafa:7228]:53721  [2800:3f0:4004:816::200a]:443  ESTABLISHED     11040
