"Nome do módulo","Nome de exibição","Tipo de driver","Data do link"
"1394ohci","1394 OHCI Compliant Host Controller","Kernel ",""
"3ware","3ware","Kernel ","18/05/2015 19:28:03"
"ACPI","Microsoft ACPI Driver","Kernel ",""
"AcpiAudioCompositorInbox","Driver de Compositor de Áudio ACPI","Kernel ",""
"AcpiDev","Driver de dispositivos ACPI","Kernel ",""
"acpiex","Microsoft ACPIEx Driver","Kernel ",""
"acpipagr","Driver do Agregador do Processador ACPI","Kernel ",""
"AcpiPmi","Driver Medidor de Energia ACPI","Kernel ",""
"acpitime","Driver do Alarme de Ativação ACPI","Kernel ",""
"Acx01000","Acx01000","Kernel ",""
"ADP80XX","ADP80XX","Kernel ","09/04/2015 17:49:48"
"AFD","Ancillary Function Driver for Winsock","Kernel ",""
"afunix","afunix","Kernel ",""
"ahcache","Application Compatibility Cache","Kernel ",""
"amdfendr","AMD Crash Defender Driver","Kernel ","19/04/2024 16:11:53"
"amdfendrmgr","AMD Crash Defender Manager Driver","Kernel ","19/04/2024 16:12:08"
"amdgpio2","AMD GPIO Client Driver","Kernel ","28/10/2019 08:13:47"
"amdgpio3","AMD GPIO Client Driver","Kernel ","14/03/2016 07:19:36"
"amdi2c","Serviço de Controlador AMD I2C","Kernel ","20/03/2019 01:57:33"
"AmdK8","AMD K8 Processor Driver","Kernel ",""
"AmdPPM","AMD Processor Driver","Kernel ",""
"amdpsp","AMD PSP Service","Kernel ","19/06/2019 11:45:11"
"AMDRyzenMasterDriverV20","AMDRyzenMasterDriverV20","Kernel ","13/05/2022 03:01:00"
"AMDSAFD","AMDSAFD","Kernel ","08/05/2024 13:26:12"
"amdsata","amdsata","Kernel ","14/05/2015 09:14:52"
"amdsbs","amdsbs","Kernel ","11/12/2012 18:21:44"
"amdwddmg","amdwddmg","Kernel ","17/06/2025 16:42:42"
"amdwps","Driver de Agendamento de Perfil de Carga de Trabalho AMD","Kernel ",""
"amdxata","amdxata","Kernel ","30/04/2015 21:55:35"
"AMDXE","AMD Link Controller Emulation","Kernel ","18/05/2023 20:14:59"
"AppID","Driver IDApl","Kernel ",""
"AppleLowerFilter","Apple Lower Filter Driver","Kernel ","14/06/2023 23:16:03"
"AppleSSD","Dispositivo da unidade de estado sólido da Apple","Kernel ","11/11/2019 18:24:17"
"applockerfltr","Driver de Filtro Smartlocker","Kernel ",""
"AppvStrm","AppvStrm","File System ",""
"AppvVemgr","AppvVemgr","File System ",""
"AppvVfs","AppvVfs","File System ",""
"arcsas","Driver de Miniporta Adaptec SAS/SATA-II RAID Storport","Kernel ","09/04/2015 16:12:07"
"AsyncMac","Driver de mídia assíncrona RAS","Kernel ",""
"atapi","Canal de IDE","Kernel ",""
"AtiHDAudioService","AMD Function Driver for HD Audio Service","Kernel ","24/12/2024 00:38:28"
"b06bdrv","QLogic Network Adapter VBD","Kernel ","25/05/2016 04:03:08"
"bam","Background Activity Moderator Driver","Kernel ",""
"BasicDisplay","BasicDisplay","Kernel ",""
"BasicRender","BasicRender","Kernel ",""
"bcmfn2","bcmfn2 Service","Kernel ","31/10/2016 23:09:15"
"Beep","Beep","Kernel ",""
"bfs","Sistema de Arquivos de Corretagem","File System ",""
"bindflt","Windows Bind Filter Driver","File System ",""
"bowser","Navegador","File System ",""
"BthA2dp","Microsoft Bluetooth A2dp driver","Kernel ",""
"BthEnum","Serviço de Enumerador de Bluetooth","Kernel ",""
"BthHFEnum","Driver do Perfil de Viva-voz de Microsoft Bluetooth","Kernel ",""
"BthLEEnum","Driver de Baixa Energia do Bluetooth","Kernel ",""
"BthMini","Driver de Rádio Bluetooth","Kernel ",""
"BTHMODEM","Driver de Comunicação de Modem Bluetooth","Kernel ",""
"BTHPORT","Driver de Porta Bluetooth","Kernel ",""
"BTHUSB","Driver USB de Rádio Bluetooth","Kernel ",""
"bttflt","Filtro VHDPMEM BTT do Microsoft Hyper-V","Kernel ",""
"buttonconverter","Serviço para dispositivos de Controle de Dispositivo Portátil","Kernel ",""
"CAD","Driver de Arbitragem de Carregamento","Kernel ",""
"CDD","Driver de exibição canônico","Kernel ",""
"cdfs","CD/DVD File System Reader","File System ",""
"cdrom","Driver de CD-ROM","Kernel ",""
"cht4iscsi","cht4iscsi","Kernel ","05/02/2019 10:51:31"
"cht4vbd","Chelsio Virtual Bus Driver","Kernel ","05/02/2019 10:47:51"
"CimFS","CimFS","File System ",""
"circlass","Dispositivos de IV do Consumidor","Kernel ",""
"CldFlt","Windows Cloud Files Filter Driver","File System ",""
"CLFS","Common Log (CLFS)","Kernel ",""
"CmBatt","Driver de Bateria do Método de Controle ACPI da Microsoft","Kernel ",""
"CNG","CNG","Kernel ",""
"cnghwassist","CNG Hardware Assist algorithm provider","Kernel ",""
"CompositeBus","Driver Enumerador de Barramento de Composição","Kernel ",""
"condrv","Console Driver","Kernel ",""
"CSC","Driver de Arquivos Offline","Kernel ",""
"dam","Desktop Activity Moderator Driver","Kernel ",""
"devmap","Serviço Mapeador de Dispositivos de Modo de Usuário","Kernel ",""
"Dfsc","Driver de Cliente para Namespaces de DFS","File System ",""
"disk","Driver de disco","Kernel ",""
"DisplayMux","Microsoft DisplayMux","Kernel ",""
"dmvsc","dmvsc","Kernel ",""
"drmkaud","Drivers de Áudio Confiáveis da Microsoft","Kernel ",""
"DXGKrnl","LDDM Graphics Subsystem","Kernel ",""
